longitude,district,street,geo_code,latitude,street_number,nation,province,city
105,通渭县,,wq69,35,,中国,甘肃省,定西市
119,沭阳县,,wwhg,34,,中国,江苏省,宿迁市
100,洱源县,温起线,whxj,26,温起线,中国,云南省,大理白族自治州
102,互助土族自治县,,wq86,37,,中国,青海省,海东市
86,库尔勒市,,tzmh,42,,中国,新疆维吾尔自治区,巴音郭楞蒙古自治州
105,三台县,,wmdc,31,,中国,四川省,绵阳市
110,博白县,,w7vf,22,,中国,广西壮族自治区,玉林市
122,科尔沁右翼中旗,,wxyx,45,,中国,内蒙古自治区,兴安盟
123,镇赉县,,y8pj,46,,中国,吉林省,白城市
118,顺昌县,,wsu0,27,,中国,福建省,南平市
115,靖安县,,wt1e,29,,中国,江西省,宜春市
115,崇礼区,,wx1y,41,,中国,河北省,张家口市
120,平度市,,wwt0,37,,中国,山东省,青岛市
109,利川市,,wmm9,30,,中国,湖北省,恩施土家族苗族自治州
104,彭州市,,wm6p,31,,中国,四川省,成都市
113,天心区,芙蓉大道,wt02,28,芙蓉大道,中国,湖南省,长沙市
107,鄂托克旗,,wqgv,39,,中国,内蒙古自治区,鄂尔多斯市
121,上虞区,,wtq5,30,,中国,浙江省,绍兴市
126,扶余市,京哈高速公路,wzcq,45,京哈高速公路,中国,吉林省,松原市
118,安溪县,,wskj,25,,中国,福建省,泉州市
116,夏津县,历亭街,wwd7,37,历亭街,中国,山东省,德州市
119,赣榆区,,wwk3,35,,中国,江苏省,连云港市
115,崇礼区,,wx4p,41,,中国,河北省,张家口市
134,抚远市,,ybrn,48,,中国,黑龙江省,佳木斯市
116,安新县,保静线,wwfw,39,保静线,中国,河北省,保定市
112,宁远县,,wkx7,26,,中国,湖南省,永州市
113,天心区,芙蓉大道,wsbm,28,芙蓉大道,中国,湖南省,长沙市
121,海阳市,,wwwk,37,,中国,山东省,烟台市
110,达拉特旗,,wrn6,40,,中国,内蒙古自治区,鄂尔多斯市
116,安新县,保静线,wwfs,39,保静线,中国,河北省,保定市
123,新民市,丹阜高速公路,wxrm,42,丹阜高速公路,中国,辽宁省,沈阳市
124,双辽市,,wzb5,44,,中国,吉林省,四平市
108,丰都县,,wmm5,30,,中国,重庆市,重庆市
105,武都区,,wmfv,33,,中国,甘肃省,陇南市
113,京山市,,wt82,31,,中国,湖北省,荆门市
118,克什克腾旗,,wxsn,43,,中国,内蒙古自治区,赤峰市
99,unknow,unknow,whnm,23,unknow,缅甸,unknow,unknow
